"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment/Other","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment/Other","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment/Other","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment/Other","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment/Other","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment/Other","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Land & Buildings","1-Jan-03","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Land & Buildings","1-Jan-97","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Land & Buildings","31-Dec-03","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Land & Buildings","31-Dec-97","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Loans and Notes","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Loans and Notes","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Loans and Notes","1-Jan-11","540000"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Loans and Notes","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Loans and Notes","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Loans and Notes","31-Dec-11","540000"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","1-Jan-03","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","1-Jan-97","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","31-Dec-03","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","31-Dec-97","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other Liabilities","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other Liabilities","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other Liabilities","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other Liabilities","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other Liabilities","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other Liabilities","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Pledges & Grants Receivable","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Pledges & Grants Receivable","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Pledges & Grants Receivable","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Pledges & Grants Receivable","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Pledges & Grants Receivable","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Pledges & Grants Receivable","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Receivable / Other","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Receivable / Other","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Receivable / Other","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Receivable / Other","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Receivable / Other","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Receivable / Other","31-Dec-11","641"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Tax-Exempt Bond Liabilities","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Tax-Exempt Bond Liabilities","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Tax-Exempt Bond Liabilities","1-Jan-11","0"
